question,market_slug,status,end_date,description,outcomes,tags
Will U.S. inflation be greater than -0.2% from November to December 2022?,will-us-inflation-be-greater-than-0pt2-from-november-to-december-2022,Active,2023-01-12 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 1, No: 0",All
Will U.S. inflation be greater than -0.1% from November to December 2022?,will-us-inflation-be-greater-than-0pt1-from-november-to-december-2022,Active,2023-01-12 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 0, No: 1",All
Will U.S. inflation be greater than 0.0% from November to December 2022?,will-us-inflation-be-greater-than-0pt0-from-november-to-december-2022,Active,2023-01-12 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 0, No: 1",All
"Will Binance.com become insolvent by Jan 31, 2023?",will-binancecom-become-insolvent-by-jan-31-2023,Active,2023-01-31 00:00:00,"This market will resolve to ""Yes"" if official information released by Binance, official representati...","Yes: 0, No: 1",All
"Will SBF be extradited to the US by February 15, 2023?",will-sbf-be-extradited-to-the-us-by-february-15-2023,Active,2023-02-15 00:00:00,This market asks whether Sam Bankman-Fried (SBF) will set foot in the United States between December...,"Yes: 1, No: 0",All
World Cup 3rd Place: Croatia vs. Morocco,world-cup-3rd-place-croatia-vs-morocco,Active,2022-12-17 00:00:00,"In the upcoming World Cup soccer game for 3rd Place, scheduled for December 17: 

If Croatia wins, t...","Croatia: 1, Morocco: 0",All
World Cup Final: France vs. Argentina,world-cup-final-france-vs-argentina,Active,2022-12-18 00:00:00,"In the upcoming World Cup Final, scheduled for December 18: 

If France wins, this market will resol...","France: 0, Argentina: 1",All
Will the Fed increase interest rates by 0 bps after its February meeting?,will-the-fed-increase-interest-rates-by-0-bps-after-its-february-meeting,Active,2023-02-01 00:00:00,The FED interest rates are defined in this market by the upper bound of the target federal funds ran...,"Yes: 0, No: 1",All
Will the Fed increase interest rates by 25 bps after its February meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-its-february-meeting,Active,2023-02-01 00:00:00,The FED interest rates are defined in this market by the upper bound of the target federal funds ran...,"Yes: 1, No: 0",All
Will the Fed increase interest rates by 50 bps after its February meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-its-february-meeting,Active,2023-02-01 00:00:00,The FED interest rates are defined in this market by the upper bound of the target federal funds ran...,"Yes: 0, No: 1",All
Will the Fed increase interest rates by 75 bps after its February meeting?,will-the-fed-increase-interest-rates-by-75-bps-after-its-february-meeting,Active,2023-02-01 00:00:00,The FED interest rates are defined in this market by the upper bound of the target federal funds ran...,"Yes: 0, No: 1",All
"Will Uniswap's ""Fee Switch"" Proposal pass?",will-uniswaps-fee-switch-proposal-pass,Active,2023-02-28 00:00:00,"This market will resolve to ""Yes"" if Uniswap's ""Fee Switch"" governance proposal passes before Februa...","Yes: 0, No: 1",All
[Single Market] Will Glenn Youngkin win the 2024 Republican presidential nomination?,will-glenn-youngkin-win-the-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Glenn Youngkin wins the 2024 nomination of the Republican Party...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Tim Scott win the 2024 Republican presidential nomination?,will-tim-scott-win-the-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Tim Scott wins the 2024 nomination of the Republican Party for ...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
NFL Thursday: 49ers vs. Seahawks,nfl-thursday-49ers-vs-seahawks,Active,2022-12-15 00:00:00,"In the upcoming NFL game scheduled for December 15, 8:15 PM ET: 

If the San Francisco 49ers win, th...","49ers: 1, Seahawks: 0",All
Will Karim Benzema play in the France v. Argentina World Cup Final?,will-karim-benzema-play-in-the-france-v-argentina-world-cup-final,Active,2022-12-18 00:00:00,"Karim Benzema, forward for Real Madrid, sustained a thigh injury while training shortly before the W...","Yes: 0.0067, No: 0.9933",All
Will the US House Speaker be elected on the first ballot?,will-the-us-house-speaker-be-elected-on-the-first-ballot,Active,2023-01-10 00:00:00,"This market will resolve to ""Yes"" if the first Speaker of the House for the 118th United States Cong...","Yes: 0, No: 1",All
NFL Monday: Rams v. Packers,nfl-monday-rams-v-packers,Active,2022-12-19 00:00:00,"In the upcoming NFL game scheduled for December 19, 8:15 PM ET: 

If the Los Angeles Rams win, this ...","Rams: 0.0004, Packers: 0.9996",All
NBA Monday: Bucks vs. Pelicans,nba-monday-bucks-vs-pelicans,Active,2022-12-19 00:00:00,"In the upcoming NBA game, scheduled for December 19: 

If the Milwaukee Bucks win, the market will r...","Bucks: 1, Pelicans: 0",All
NBA Tuesday: Jazz vs. Pistons,nba-tuesday-jazz-vs-pistons,Active,2022-12-21 00:00:00,"In the upcoming NBA game, scheduled for December 20: 

If the Utah Jazz win, the market will resolve...","Jazz: 1, Pistons: 0",All
Will the price of $ETH be above $1200 on December 30?,will-the-price-of-eth-be-above-1200-on-december-30,Active,2022-12-30 00:00:00,This market will resolve to “Yes” if the Binance 1 minute candle for ETH/USDT titled 2022/12/30 12:0...,"Yes: 0, No: 1",All
